# gpu   pwr  temp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
# Idx     W     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
    0    20    60     9     5     0     0   405   103     0     0   445     5     -     -     0     0     0
    0    19    60     9     5     0     0   405   103     0     0   445     5     -     -     0     1     0
    0    19    61     9     5     0     0   405   103     0     0   445     5     -     -     0     0     1
    0    19    60     9     5     0     0   405   103     0     0   445     5     -     -     0     0     0
    0    20    61     9     5     0     0   405   103     0     0   445     5     -     -     0     1     0
    0    20    60     9     5     0     0   405   103     0     0   445     5     -     -     0     0     1
    0    19    61     9     5     0     0   405   103     0     0   445     5     -     -     0     0     3
    0    20    60     9     5     0     0   405   103     0     0   445     5     -     -     0    27     0
    0    20    60    12     5     0     0   405   103     0     0   445     5     -     -     0     0     1
    0    20    60    14     5     0     0   405   103     0     0   445     5     -     -     0     0     0
# gpu   pwr  temp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
# Idx     W     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
    0    19    61    15     5     0     0   405   103     0     0   445     5     -     -     0     1     0
    0    20    60    10     6     0     0   405   103     0     0   445     5     -     -     0     1     0
    0    19    60     9     5     0     0   405   103     0     0   445     5     -     -     0     0     1
    0    19    61     9     5     0     0   405   103     0     0   445     5     -     -     0     1     0
    0    19    61     9     5     0     0   405   103     0     0   445     5     -     -     0     0     0
    0    20    61     9     5     0     0   405   103     0     0   445     5     -     -     0     0     0
    0    19    61     9     5     0     0   405   103     0     0   445     5     -     -     0     0     0
    0    20    60     9     5     0     0   405   103     0     0   445     5     -     -     0     1     0
    0    19    60     9     5     0     0   405   103     0     0   445     5     -     -     0     1     0
    0    19    61     9     5     0     0   405   103     0     0   445     5     -     -     0     1     0
    0    19    61    10     6     0     0   405   103     0     0   445     5     -     -     0     1     0
    0    20    61     9     5     0     0   405   103     0     0   445     5     -     -     0     1     0
    0    19    60     9     5     0     0   405   103     0     0   445     5     -     -     0     0     0
    0    19    61     9     5     0     0   405   103     0     0   445     5     -     -     0     0     1
    0    19    61    10     5     0     0   405   103     0     0   445     5     -     -     0     0     0
    0    20    61     9     5     0     0   405   103     0     0   445     5     -     -     0    33     0
    0    19    61     9     5     0     0   405   103     0     0   445     5     -     -     0     0     0
    0    20    61    20     6     0     0   405   103     0     0   445     5     -     -     0     1     0
    0    19    60    18     6     0     0   405   103     0     0   445     5     -     -     0     1     0
    0    20    60    18     6     0     0   405   103     0     0   445     5     -     -     0     0     1
    0    20    61     9     5     0     0   405   103     0     0   445     5     -     -     0     0     0
    0    20    61     9     5     0     0   405   103     0     0   445     5     -     -     0     0     0
    0    20    61    10     5     0     0   405   103     0     0   445     5     -     -     0     0     0
    0    20    61    16     6     0     0   405   103     0     0   445     5     -     -     0     1     0
    0    19    61     9     5     0     0   405   103     0     0   445     5     -     -     0     3     0
    0    20    61    10     5     0     0   405   103     2     0   155     5     -     -     0    14     2
    0    20    61     0     4     0     0   405   101     0     0   155     5     -     -     0     0     0
    0    20    61     1     4     0     0   405   103     0     0   155     5     -     -     0     0     0
    0    20    61     0     4     0     0   405   103     0     0   155     5     -     -     0     0     0
    0    20    61     0     4     0     0   405   103     0     0   155     5     -     -     0     0     0
    0    20    61     1     4     0     0   405   103     0     0   155     5     -     -     0     0     0
    0    20    61     0     4     0     0   405   103     0     0   155     5     -     -     0     1     2
    0    20    61     0     4     0     0   405   103     0     0   155     5     -     -     0     0     0
    0    20    61     0     4     0     0   405   103     0     0   155     5     -     -     0     0     0
